"","LS_K2","LS_K4","LS_K5","LS_K7","NL_K1","NL_K3","NL_K6","Normal_410","Normal_N19","Normal_N1","Normal_N20","Normal_N2","Normal_N3"
"ENSG00000284079",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000163251",54,53,113,103,75,148,104,182,104,197,135,142,69
"ENSG00000185674",1,1,9,0,0,8,12,1,1,2,310,2,0
"ENSG00000222418",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287536",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000242121",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252452",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000199781",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000182600",17,46,56,30,372,207,229,464,160,308,106,229,56
"ENSG00000289176",0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000223935",6,5,1,5,1,6,7,4,5,5,13,6,0
"ENSG00000237217",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119862",2635,2337,2076,3190,5784,4990,7590,6905,10698,5219,6236,6607,7294
"ENSG00000223863",48,58,15,35,109,122,136,203,340,110,119,136,234
"ENSG00000283204",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252414",0,2,1,0,0,0,0,0,0,0,1,0,0
"ENSG00000233694",0,2,4,5,0,1,2,0,3,1,3,0,0
"ENSG00000179833",1156,1060,1502,1642,936,1765,1532,1536,1419,1022,1465,1818,1412
"ENSG00000226756",1,1,3,2,0,1,0,0,3,1,1,0,13
"ENSG00000227791",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000288986",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231735",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236391",0,1,0,2,2,5,1,7,4,1,3,6,1
"ENSG00000115252",739,408,240,451,88,132,101,137,143,213,178,204,155
"ENSG00000264324",0,2,2,1,2,8,2,2,2,2,12,0,8
"ENSG00000188687",26,78,26,40,13,126,69,23,55,14,83,33,34
"ENSG00000152133",165,206,274,266,181,358,351,332,298,218,395,232,278
"ENSG00000229434",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236231",0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000283203",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000252027",0,1,0,0,0,0,0,0,0,0,0,0,2
"ENSG00000207303",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235042",1,0,0,0,0,0,0,1,0,0,0,1,0
"ENSG00000232485",2,5,6,7,3,11,6,1,4,4,4,4,19
"ENSG00000241520",0,4,4,1,4,3,2,3,1,0,0,1,0
"ENSG00000197756",34186,38849,26661,36460,50891,35065,43136,38705,47371,54037,45108,54749,40444
"ENSG00000224391",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225794",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000235444",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000115457",424,530,364,316,674,505,663,874,489,1236,397,1349,949
"ENSG00000115461",16297,14562,35304,27397,17895,30811,18031,31813,26848,33785,26029,34471,55467
"ENSG00000237930",0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000222832",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234588",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000231597",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000118245",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000223874",0,0,3,1,1,4,0,2,0,1,2,0,0
"ENSG00000237479",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236295",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287498",1,0,0,0,0,1,0,0,0,0,1,0,0
"ENSG00000289265",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279015",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230621",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000144460",0,0,0,0,0,2,1,0,0,0,0,0,0
"ENSG00000119844",763,645,1004,1043,728,1759,1615,1849,1589,877,1347,1330,1575
"ENSG00000204705",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277747",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234903",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000144010",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233459",0,0,1,0,0,0,0,0,0,0,1,0,0
"ENSG00000233031",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000178562",80,49,141,130,24,33,34,11,16,37,32,25,8
"ENSG00000224791",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213925",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000206970",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000144048",471,495,729,797,590,963,726,780,985,775,736,734,754
"ENSG00000237383",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227265",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000213355",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234837",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235571",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000064012",144,361,421,496,174,728,385,306,488,214,376,193,245
"ENSG00000289698",4,3,10,9,0,13,4,8,5,0,0,2,10
"ENSG00000222017",2,0,0,0,0,1,0,4,1,0,0,1,0
"ENSG00000247626",80,46,125,98,130,254,228,325,242,218,173,230,224
"ENSG00000152430",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286020",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237262",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227347",2,10,9,7,3,2,8,4,10,1,6,9,13
"ENSG00000003400",523,807,583,772,397,678,507,277,613,428,662,472,525
"ENSG00000121966",259,505,420,440,209,289,219,190,163,241,187,195,137
"ENSG00000279024",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230037",0,0,0,0,0,0,0,0,0,0,0,0,1
"ENSG00000273063",0,0,0,0,0,0,0,0,0,0,2,0,0
"ENSG00000233426",126,59,74,81,171,92,100,21,102,3,14,18,131
"ENSG00000225226",0,0,0,0,0,0,1,0,0,0,0,0,0
"ENSG00000226674",50,197,86,70,37,75,86,23,61,66,107,71,48
"ENSG00000234940",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000276706",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235352",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000268580",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000235435",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214064",0,3,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225107",0,8,4,3,3,13,5,1,7,4,6,15,18
"ENSG00000286225",0,0,0,0,0,0,1,0,0,1,0,0,0
"ENSG00000226218",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000234119",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233842",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279876",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251905",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230559",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227134",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000198526",0,0,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000231040",0,0,0,0,0,1,0,0,0,1,0,0,0
"ENSG00000271583",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000287847",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207225",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207161",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000202074",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000253083",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257207",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000256671",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231583",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000183054",0,0,0,2,0,3,1,0,0,0,1,1,0
"ENSG00000226847",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229641",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000115392",149,320,258,249,140,430,360,144,193,79,400,131,128
"ENSG00000163599",15,25,31,19,4,20,10,9,1,5,24,9,1
"ENSG00000252214",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000115317",642,754,604,593,760,845,644,576,848,867,653,695,704
"ENSG00000115325",406,470,469,294,292,259,221,257,230,790,216,340,314
"ENSG00000213486",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227361",0,0,0,0,0,0,0,0,0,0,1,1,0
"ENSG00000229831",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000170264",22,27,70,34,11,66,46,20,29,6,55,19,36
"ENSG00000230702",0,0,0,3,1,1,1,2,0,0,0,1,0
"ENSG00000277498",0,0,2,1,2,2,0,0,0,0,0,0,0
"ENSG00000115484",2336,3153,2761,3016,3499,3985,3833,4309,4467,3903,3803,4455,3659
"ENSG00000236498",0,2,3,0,0,3,3,0,1,0,2,5,11
"ENSG00000286360",0,2,2,0,0,6,4,0,0,0,1,0,0
"ENSG00000278523",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000289247",0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000136688",205,196,184,227,269,425,431,311,353,213,378,218,211
"ENSG00000236124",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232090",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136694",0,1,1,0,0,0,2,0,0,1,0,0,0
"ENSG00000136696",38,60,50,71,62,139,197,110,215,201,161,217,108
"ENSG00000136697",131,68,30,46,138,219,266,173,301,221,183,149,110
"ENSG00000201805",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000136689",2434,2258,1742,3385,5212,4285,5360,3832,3960,4224,4175,3890,5321
"ENSG00000144354",139,196,255,353,202,679,471,342,373,266,567,401,380
"ENSG00000136695",1683,1432,2063,3049,2424,2906,5982,3805,7503,3228,3304,2919,3304
"ENSG00000227227",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000144369",142,203,309,326,77,171,179,147,141,184,104,132,206
"ENSG00000138448",2527,2325,5193,4015,1491,2288,2337,1832,1813,1693,1827,1590,1702
"ENSG00000283586",0,0,0,0,0,1,0,1,1,0,2,0,0
"ENSG00000285843",0,0,1,0,0,0,2,0,0,0,12,0,0
"ENSG00000114993",1253,1779,1501,1275,1271,1872,1681,1188,1784,1381,1092,1444,1263
"ENSG00000238259",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000198648",337,364,671,631,341,929,774,1082,569,772,850,688,393
"ENSG00000115267",183,332,356,476,133,443,358,241,295,112,277,158,219
"ENSG00000180871",67,51,171,237,45,166,235,149,192,145,106,51,74
"ENSG00000188282",5,9,16,10,5,10,6,3,6,4,18,4,0
"ENSG00000214821",0,0,0,0,0,0,0,0,1,0,0,0,0
"ENSG00000213981",0,2,0,4,1,4,4,1,0,2,2,1,0
"ENSG00000275414",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222033",7,14,4,28,19,23,24,36,29,48,11,18,47
"ENSG00000204335",97,83,24,41,218,123,50,211,167,257,115,289,346
"ENSG00000128692",9,20,17,15,11,23,19,14,27,11,18,23,22
"ENSG00000222509",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000128683",60,41,28,36,7,15,12,4,4,6,23,3,0
"ENSG00000235934",4,4,0,2,0,0,0,0,0,0,1,0,0
"ENSG00000286611",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286115",0,0,0,4,0,0,1,0,0,0,2,0,0
"ENSG00000115806",2847,2369,3811,3890,2393,3293,3063,4110,3699,3943,2633,3904,4047
"ENSG00000091106",16,17,32,19,5,13,9,12,5,4,11,1,0
"ENSG00000289727",3,15,13,7,4,13,7,4,3,7,7,4,0
"ENSG00000204334",23,16,29,17,20,28,14,34,24,36,32,28,10
"ENSG00000228203",183,174,154,111,6,16,7,8,12,13,9,11,9
"ENSG00000153201",1108,1305,1783,1758,983,2223,2427,1862,1973,812,1884,1361,1351
"ENSG00000201610",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000264010",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000251718",0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSG00000285626",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000239899",1,0,0,1,0,0,0,2,0,0,0,1,6
"ENSG00000134318",683,759,852,933,633,1056,932,754,907,709,1001,891,825
"ENSG00000169618",2,3,2,1,2,4,15,4,1,1,1,4,4
"ENSG00000163219",257,354,347,291,170,285,259,174,175,241,349,192,215
"ENSG00000283994",0,3,7,6,1,2,1,1,2,3,4,2,11
"ENSG00000231758",0,2,6,2,2,7,6,2,3,1,3,8,0
"ENSG00000257277",0,2,5,1,4,6,4,4,1,1,1,4,5
"ENSG00000257226",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236356",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000200287",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232377",1,8,0,0,0,4,0,0,1,7,5,2,0
"ENSG00000144524",758,1194,985,1007,784,1559,1256,664,1081,766,1057,787,710
"ENSG00000237477",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214070",1,1,0,0,0,1,0,1,0,0,0,0,0
"ENSG00000115866",888,1052,1553,1717,1162,2425,2027,2638,2281,1443,2099,1700,2049
"ENSG00000159374",11,16,6,11,8,20,4,11,13,23,19,7,12
"ENSG00000135622",129,196,286,161,142,230,204,159,211,303,199,282,181
"ENSG00000286739",0,0,0,5,0,2,0,1,0,0,0,1,4
"ENSG00000287687",0,0,0,0,0,0,0,0,1,0,0,2,0
"ENSG00000224646",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000116106",561,523,808,1375,436,1423,970,976,1091,579,1386,688,858
"ENSG00000226726",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000272944",22,30,12,22,20,32,19,28,41,27,16,19,23
"ENSG00000230406",0,0,0,0,0,0,0,0,2,0,0,0,1
"ENSG00000138379",1,5,12,6,4,38,5,18,7,6,4,31,1
"ENSG00000151689",1049,1522,1496,2136,1008,1713,1825,998,1376,915,1025,851,826
"ENSG00000198130",412,753,884,1059,462,1176,964,721,649,380,696,618,438
"ENSG00000187231",740,651,1185,916,433,830,541,519,577,716,832,648,622
"ENSG00000121964",511,459,588,670,326,521,361,535,495,522,662,560,426
"ENSG00000114999",1159,1517,1505,1738,639,1494,1243,788,846,1035,1292,1063,927
"ENSG00000125630",377,282,518,627,325,620,668,524,721,386,655,428,459
"ENSG00000207383",0,0,0,0,0,0,0,1,3,1,0,0,0
"ENSG00000125611",404,551,351,331,646,544,461,565,441,719,284,704,451
"ENSG00000243389",2,6,6,5,5,7,1,3,10,5,2,5,2
"ENSG00000228251",1,6,1,6,2,9,6,4,4,6,4,4,0
"ENSG00000169607",21,42,50,34,24,94,56,43,73,25,78,15,70
"ENSG00000115008",3,13,14,16,35,102,95,45,13,37,47,18,3
"ENSG00000115211",1467,1792,1357,1422,1280,2098,1886,1088,1944,1470,1698,1462,1506
"ENSG00000244125",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228134",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000229781",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000115919",40,47,97,68,70,89,54,77,49,47,64,69,37
"ENSG00000270390",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000075884",125,205,144,121,85,106,115,60,82,80,144,131,48
"ENSG00000224288",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226839",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000224852",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000232772",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236300",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000227557",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225476",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000284167",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000231766",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000257284",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228655",0,1,0,0,0,0,0,0,0,1,0,0,0
"ENSG00000163596",69,90,137,115,49,112,72,51,67,28,83,64,72
"ENSG00000173163",647,796,508,519,622,551,487,454,478,503,664,641,521
"ENSG00000229839",2,0,0,4,1,1,3,2,0,0,0,2,0
"ENSG00000242735",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000271657",0,0,0,1,0,0,0,1,0,0,0,0,0
"ENSG00000266097",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000236307",0,2,1,0,1,1,0,4,1,2,2,2,0
"ENSG00000153208",127,127,180,108,66,278,125,260,156,230,281,147,119
"ENSG00000240183",0,0,0,0,0,0,0,0,0,0,4,0,0
"ENSG00000225496",0,1,0,0,0,1,0,0,0,1,0,1,1
"ENSG00000232277",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000286904",4,1,0,2,0,4,0,1,2,0,2,0,0
"ENSG00000287141",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000144136",655,873,1467,964,242,532,672,230,353,261,656,337,275
"ENSG00000116001",734,953,1901,1290,473,1492,1314,627,964,529,1347,761,662
"ENSG00000116005",1152,1590,1927,2402,1822,3356,3026,3579,3038,3197,2974,2964,3158
"ENSG00000152154",46,141,51,73,53,105,83,30,76,112,70,110,72
"ENSG00000138050",324,420,418,460,232,434,445,178,277,137,422,364,229
"ENSG00000144285",0,0,2,0,0,6,1,0,0,0,2,1,0
"ENSG00000199687",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000168874",303,551,539,294,1059,372,587,1003,874,1190,572,1305,890
"ENSG00000278783",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000115525",341,509,529,500,389,582,407,334,406,331,689,407,507
"ENSG00000084734",15,31,34,23,2,20,7,1,3,2,7,7,2
"ENSG00000243147",428,845,707,564,512,747,609,445,535,477,618,587,437
"ENSG00000171174",31,85,65,69,62,103,67,87,55,85,66,88,75
"ENSG00000270846",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265321",2,1,2,6,0,2,1,0,1,3,3,1,3
"ENSG00000270528",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277035",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223522",0,0,3,1,0,0,0,0,0,0,1,2,0
"ENSG00000225991",0,0,1,3,0,1,0,2,0,0,0,0,0
"ENSG00000229951",6,9,14,12,9,15,9,8,8,5,9,13,0
"ENSG00000075426",6465,5350,13734,13197,4126,8153,6570,14269,9107,9037,7399,12721,13774
"ENSG00000270640",2,4,2,0,0,1,2,1,3,1,3,0,0
"ENSG00000270210",99,57,143,60,27,31,46,47,24,21,60,28,48
"ENSG00000227938",0,2,0,1,1,0,0,2,3,0,0,2,0
"ENSG00000163803",222,256,354,434,482,724,740,334,457,287,409,368,304
"ENSG00000242915",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000230730",0,0,0,0,2,2,2,0,4,0,0,0,0
"ENSG00000222232",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000226833",8,24,25,19,26,76,57,33,42,30,49,30,18
"ENSG00000163806",3,0,2,0,1,6,0,0,0,2,4,3,0
"ENSG00000273233",0,1,1,0,4,2,0,0,3,0,0,0,0
"ENSG00000171103",150,203,258,257,225,408,389,389,419,235,350,300,254
"ENSG00000163811",540,516,757,906,409,1112,1117,1003,841,461,1005,901,717
"ENSG00000264994",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265145",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000222224",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000265706",0,0,0,0,0,0,3,0,0,0,0,1,0
"ENSG00000189350",22,27,31,22,61,85,103,25,62,44,107,62,48
"ENSG00000233581",0,0,0,0,0,0,0,0,1,0,1,0,0
"ENSG00000138375",436,586,763,663,312,586,495,505,684,499,456,517,572
"ENSG00000214694",6,10,16,14,8,13,9,5,8,4,11,4,0
"ENSG00000222005",10,10,2,15,1,4,6,5,9,6,5,5,9
"ENSG00000171150",708,437,883,1096,396,625,592,833,599,637,579,627,703
"ENSG00000226548",0,0,2,0,0,0,0,0,0,0,0,0,0
"ENSG00000228925",0,2,0,0,0,2,1,0,0,0,0,0,0
"ENSG00000180398",1518,1338,2582,2558,961,1807,1830,1805,1718,1388,1759,1458,1663
"ENSG00000272814",1,5,1,0,3,3,2,0,2,2,1,0,0
"ENSG00000233845",0,3,0,0,1,4,1,2,0,0,0,1,0
"ENSG00000239605",0,0,4,11,10,13,24,8,6,2,14,6,0
"ENSG00000273269",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000225187",0,0,2,6,2,5,2,1,0,0,3,1,0
"ENSG00000143933",5881,7574,8308,7691,7820,10887,10227,10103,9211,7627,10332,9866,6952
"ENSG00000236824",0,0,0,0,0,0,0,0,0,0,0,1,0
"ENSG00000119888",37,62,130,43,583,699,864,743,365,456,379,519,245
"ENSG00000222685",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000207923",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000277396",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000135636",578,961,965,890,449,841,447,571,510,925,365,692,602
"ENSG00000115041",204,247,301,202,420,466,388,468,547,580,268,487,457
"ENSG00000135905",387,315,586,470,103,337,164,129,215,82,252,144,138
"ENSG00000288898",1,0,0,0,2,1,1,0,0,1,0,1,1
"ENSG00000227107",0,0,0,0,1,0,0,0,0,0,0,0,0
"ENSG00000124831",1075,1450,1376,1405,1046,2657,1721,1681,1841,1089,2143,1474,1625
"ENSG00000288857",0,1,0,0,0,10,0,5,0,0,2,2,0
"ENSG00000135899",389,638,758,772,196,564,409,321,411,297,456,392,433
"ENSG00000115415",1541,1974,2834,4680,1162,2208,2367,2328,1707,2066,1796,1900,1932
"ENSG00000280537",2,2,5,7,4,15,9,4,6,3,3,4,16
"ENSG00000187736",69,94,120,143,87,110,127,164,145,149,123,125,131
"ENSG00000124383",356,774,597,538,250,1182,802,527,532,116,744,451,429
"ENSG00000230552",4,2,3,1,0,0,0,0,0,0,0,0,1
"ENSG00000237053",1,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223777",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000279205",15,31,17,20,19,42,42,5,19,17,34,19,25
"ENSG00000227098",7,7,1,2,2,1,1,0,0,0,5,3,0
"ENSG00000206866",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000068724",1697,1653,2037,1823,2033,2717,2058,2842,2832,2925,1483,3074,2895
"ENSG00000235734",1,0,4,0,0,1,0,1,0,0,1,0,1
"ENSG00000238719",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000115085",173,225,252,195,112,150,176,62,139,193,136,225,109
"ENSG00000221843",4,1,3,2,0,5,0,0,0,0,0,0,0
"ENSG00000115935",1511,1346,2634,1963,593,1050,611,681,768,971,972,868,1068
"ENSG00000144029",123,129,220,205,62,319,210,64,147,105,284,151,95
"ENSG00000289685",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000144026",254,473,365,345,203,665,414,221,418,198,598,217,329
"ENSG00000196504",837,1052,1355,1454,790,1997,1724,1581,1502,747,1771,1144,1151
"ENSG00000205639",2,6,9,8,1,7,7,3,9,23,5,2,6
"ENSG00000163026",157,205,289,240,114,244,190,137,142,135,213,89,129
"ENSG00000222940",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000119782",36,97,54,33,71,67,50,29,77,60,60,75,106
"ENSG00000115128",1473,1647,1421,1504,1495,1509,1366,1371,1536,1386,1748,1711,1288
"ENSG00000219626",67,101,65,59,40,69,69,71,61,59,88,61,39
"ENSG00000115129",776,1028,1082,697,298,475,266,218,261,462,353,320,287
"ENSG00000176732",28,12,15,21,0,13,7,6,10,11,9,9,0
"ENSG00000276087",0,0,0,1,0,0,0,0,0,0,1,0,0
"ENSG00000232642",0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000223754",0,1,0,0,0,0,0,0,1,0,0,1,0
"ENSG00000198399",456,630,768,871,617,1403,1346,1039,1292,556,1024,754,761
"ENSG00000242628",3,2,2,4,5,5,3,2,5,1,8,0,0
"ENSG00000251805",0,0,0,0,0,1,0,0,0,0,0,0,0
"ENSG00000232963",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000233747",0,1,0,0,2,3,1,1,4,2,1,1,1
"ENSG00000186453",5,5,2,4,11,8,9,4,13,61,11,6,0
"ENSG00000163798",421,684,562,588,303,983,771,468,713,235,734,525,560
"ENSG00000177994",0,5,0,0,3,5,1,2,3,4,6,5,5
"ENSG00000115306",4237,5574,5586,6098,5070,9604,7570,7707,7596,10039,9781,9556,10303
"ENSG00000228108",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237887",0,3,0,0,7,3,3,3,2,19,5,2,0
"ENSG00000234943",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000289627",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000214595",80,91,120,115,22,193,42,83,30,33,108,39,45
"ENSG00000115310",5994,7197,7233,7041,10803,16988,12481,17422,16489,13706,12233,14269,12259
"ENSG00000200086",0,0,0,0,0,0,0,0,0,0,0,2,0
"ENSG00000289606",29,33,7,14,14,35,32,12,19,6,23,19,29
"ENSG00000169764",1693,1821,2572,2402,2095,3264,2913,3209,2968,2731,2897,2719,2358
"ENSG00000068615",96,127,114,136,131,231,170,89,118,162,147,216,192
"ENSG00000115561",1457,1586,1875,2567,2098,2939,2542,3289,3166,3897,3038,3328,3356
"ENSG00000200563",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000228363",2,7,8,6,2,13,10,3,5,2,16,10,22
"ENSG00000239305",695,687,904,923,781,1284,1126,1042,993,823,1184,964,824
"ENSG00000144233",679,582,878,894,507,1019,876,838,910,848,1044,868,1046
"ENSG00000063660",6053,8081,3422,5995,8850,10224,10404,12626,9848,11837,4956,12603,11248
"ENSG00000218416",1,3,2,1,7,12,20,15,4,7,10,33,10
"ENSG00000207611",0,0,0,0,0,1,0,0,0,0,2,0,0
"ENSG00000178623",140,131,107,95,105,212,146,156,227,182,162,120,106
"ENSG00000241524",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237024",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000201076",0,0,0,0,0,0,0,1,0,0,0,0,0
"ENSG00000267520",0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSG00000237522",0,7,5,2,0,5,2,0,2,1,0,0,0
"ENSG00000232713",0,1,0,0,0,0,0,0,0,0,1,0,0
"ENSG00000162927",52,80,136,108,29,112,84,46,71,57,84,44,39
"ENSG00000222251",0,0,0,0,0,0,0,0,0,0,0,0,0
